drama_id,genre_id,rate
1,2,-0.123574602
2,2,1.895296046
3,3,4.757312169
3,4,4.757312169
3,14,4.757312169
4,2,0.812632164
5,3,0.886877786
5,7,0.886877786
5,8,0.886877786
5,11,0.886877786
6,1,0.979430545
6,2,0.979430545
6,3,0.979430545
7,3,-0.303086274
8,3,-0.41903149
8,4,-0.41903149
8,14,-0.41903149
9,2,-0.302343664
9,3,-0.302343664
10,2,3.118925032
11,8,-0.17849602
11,9,-0.17849602
11,11,-0.17849602
12,2,-0.429746909
13,3,1.701599038
14,2,-1.052598359
14,14,-1.052598359
15,2,1.68615014
16,2,-0.617942569
17,2,0.031019019
17,14,0.031019019
18,8,-0.516161035
18,9,-0.516161035
18,11,-0.516161035
19,2,0.584809986
20,2,-0.489937419
21,2,1.037911686
22,2,-1.157918319
23,3,-1.169688908
24,14,-0.837044506
25,3,0.044153037
25,14,0.044153037
25,16,0.044153037
26,1,-0.887643405
26,2,-0.887643405
27,2,-0.659875291
28,3,-0.309188654
28,7,-0.309188654
29,2,-1.152033025
30,2,-1.257968322
30,3,-1.257968322
30,16,-1.257968322
31,1,-0.823314152
31,3,-0.823314152
31,11,-0.823314152
32,2,-0.722116353
33,1,0.002541247
33,3,0.002541247
33,8,0.002541247
33,9,0.002541247
33,11,0.002541247
34,2,0.28030047
35,8,-0.342751743
35,9,-0.342751743
35,11,-0.342751743
36,2,0.214598945
37,2,-0.278066825
37,3,-0.278066825
37,8,-0.278066825
38,2,0.187607085
38,3,0.187607085
38,14,0.187607085
38,16,0.187607085
39,2,0.374786414
39,9,0.374786414
40,2,-0.384002122
41,11,0.072718615
42,2,-0.151035311
42,5,-0.151035311
43,2,0.293227098
44,2,-0.823633604
45,2,1.803251817
46,2,-0.222892191
46,8,-0.222892191
46,11,-0.222892191
47,8,-0.842129823
47,9,-0.842129823
47,11,-0.842129823
48,3,1.891399778
48,7,1.891399778
48,9,1.891399778
49,2,-1.202793688
50,2,0.043223779
50,3,0.043223779
51,3,-0.67482291
51,14,-0.67482291
52,2,3.279593566
52,3,3.279593566
53,2,0.087974564
53,3,0.087974564
53,9,0.087974564
54,3,-0.706351872
55,2,1.114540934
56,6,-0.160697412
56,14,-0.160697412
57,1,0.162220185
57,3,0.162220185
57,14,0.162220185
58,2,-0.815177645
58,3,-0.815177645
59,9,0.448767018
60,2,0.207469953
61,2,0.379614811
61,5,0.379614811
62,1,3.385802311
62,3,3.385802311
63,2,0.098653729
64,2,-0.845997722
65,3,-0.747034404
66,3,-0.415530484
67,3,-0.399707288
67,16,-0.399707288
68,2,0.119190539
69,1,-0.072212905
69,2,-0.072212905
70,2,1.341860425
71,2,0.861959734
72,2,-0.538536428
73,3,-0.699740961
73,14,-0.699740961
74,5,-0.166291261
74,6,-0.166291261
74,8,-0.166291261
74,9,-0.166291261
75,3,-0.266471995
76,6,0.258230616
77,9,-0.304550649
77,11,-0.304550649
77,16,-0.304550649
78,2,-0.730498822
79,2,-0.313256907
79,8,-0.313256907
79,11,-0.313256907
80,2,0.871772545
80,6,0.871772545
80,11,0.871772545
81,2,-1.217948321
82,1,0.125923738
82,6,0.125923738
83,2,-0.854825664
83,8,-0.854825664
83,9,-0.854825664
83,11,-0.854825664
84,1,0.440895528
84,3,0.440895528
84,16,0.440895528
85,3,0.355080812
86,2,0.640039083
86,3,0.640039083
87,2,0.463480254
88,8,-0.297492426
88,9,-0.297492426
88,11,-0.297492426
89,2,-0.93574846
90,2,-0.706860404
91,3,-0.872387456
92,2,-0.244520647
93,2,0.752840556
94,2,-0.124591665
94,3,-0.124591665
94,14,-0.124591665
95,2,-0.502430681
96,3,-0.911290127
96,8,-0.911290127
96,9,-0.911290127
97,3,-1.213828615
98,3,0.179001729
99,2,-0.209650279
100,9,-0.29742886
100,11,-0.29742886
101,2,-0.657668305
102,2,-0.816571251
103,3,0.951224017
103,8,0.951224017
103,9,0.951224017
104,8,0.967734318
104,9,0.967734318
104,11,0.967734318
105,3,-0.622571283
106,5,0.048567008
106,8,0.048567008
107,8,-0.068403216
107,9,-0.068403216
108,2,-1.222656556
109,3,-1.20853185
110,2,-0.299526553
111,2,0.118486463
112,2,2.179565238
113,3,1.360829282
113,8,1.360829282
113,9,1.360829282
113,11,1.360829282
114,1,2.858963521
114,3,2.858963521
114,4,2.858963521
114,14,2.858963521
115,1,0.297998136
115,14,0.297998136
116,2,2.99268547
116,3,2.99268547
117,2,0.884907225
117,10,0.884907225
118,6,0.050773993
119,3,0.064015905
119,7,0.064015905
120,2,0.295749367
121,8,0.141370387
121,11,0.141370387
122,2,0.176572158
123,3,-0.841112759
123,14,-0.841112759
124,8,-0.534077126
124,9,-0.534077126
124,11,-0.534077126
125,3,-1.074528786
126,3,0.433903219
127,2,0.239250542
128,2,-0.278066825
129,8,-0.668703232
129,9,-0.668703232
129,11,-0.668703232
130,14,-0.325149179
131,8,-0.790087427
