,드라마 이름,방송사,부작,요일시간,배우_방송,배우_영화,연출_드라마,연출_영화,작가_드라마,작가_영화,강수량,기온,스포츠 대회,장르,평균시청률,start
0,몽땅 내 사랑,MBC,210,22B,38.6,8.8,13.0,0.0,11.0,1.0,4.701277955271565,11.741214057507987,1,시트콤,9.509999999999998,2010-11-08
1,근초고왕,KBS1,60,24C,29.8,8.0,10.0,0.0,12.0,1.0,1.7819512195121947,5.239024390243903,1,사극,10.943333333333332,2010-11-06
2,웃어라 동해야,KBS1,159,22B,28.0,6.2,12.0,0.0,8.0,0.0,1.6364864864864863,5.5486486486486495,1,드라마,39.346666666666664,2010-10-04
3,호박꽃 순정,SBS,124,22B,43.0,14.2,14.0,0.0,8.0,0.0,1.8749999999999993,3.9299999999999993,1,드라마,13.793333333333335,2010-11-15
4,사랑하길 잘했어,KBS2,162,22A,20.0,10.4,10.0,0.0,5.0,5.0,1.304787234042553,3.6489361702127665,1,"코메디,로맨스,드라마",9.483333333333333,2010-10-25
5,"웃어요, 엄마",SBS,50,24C,19.6,9.0,11.0,0.0,13.0,0.0,1.124705882352941,2.9299999999999997,1,드라마,14.28,2010-11-06
6,주홍글씨,MBC,165,22A,35.8,22.6,4.0,0.0,18.0,0.0,3.2707627118644074,8.528813559322028,1,드라마,14.236666666666666,2010-08-09
7,욕망의 불꽃,MBC,50,24C,40.2,36.4,14.0,0.0,31.0,13.0,0.9638418079096046,3.9016949152542355,1,"막장,드라마",18.286666666666665,2010-10-02
8,폭풍의 연인,MBC,69,22B,22.4,7.6,11.0,0.0,13.0,9.0,0.5524752475247524,-0.08811881188118814,1,드라마,5.833333333333334,2010-11-17
9,프레지던트,KBS2,20,9C,23.8,6.4,10.0,0.0,14.0,0.0,0.4680555555555555,-1.9291666666666667,0,정치,7.127777777777778,2010-12-15
10,아테나 : 전쟁의 여신,SBS,20,3C,15.8,21.6,2.0,6.0,2.0,1.0,0.6422535211267605,-2.1211267605633806,0,액션,16.115000000000002,2010-12-13
11,역전의 여왕,MBC,31,3C,21.6,10.2,17.0,2.0,8.0,0.0,0.5364485981308412,2.4317757009345793,1,로맨스,12.996666666666666,2010-10-18
12,글로리아,MBC,50,24B,29.6,11.2,11.0,0.0,18.0,0.0,3.8885869565217406,11.192934782608699,1,드라마,9.669999999999998,2010-07-31
13,"괜찮아, 아빠딸",SBS,17,3C,24.4,9.2,24.0,0.0,13.0,0.0,0.6379310344827588,-0.1879310344827589,1,드라마,9.217647058823529,2010-11-22
